raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Platonia insignis,Platonia insignis,5421063,Platonia,Clusiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Plectranthus barbatus,Coleus barbatus,8030165,Coleus,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Plumbago zeylanica,Plumbago zeylanica,3082282,Plumbago,Plumbaginaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Plumeria acutifolia,Plumeria rubra,3169674,Plumeria,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Plumeria alba,Plumeria alba,3169673,Plumeria,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Plumeria rubra,Plumeria rubra,3169674,Plumeria,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Podophyllum peltatum,Podophyllum peltatum,3033839,Podophyllum,Berberidaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Pogostemon cablin,Pogostemon cablin,2926672,Pogostemon,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-14
Polianthes tuberosa,Agave amica,10868891,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Polygala senega,Polygala senega,3191367,Polygala,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Polygala tenuifolia,Polygala tenuifolia,7593997,Polygala,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Polygonatum multiflorum,Polygonatum multiflorum,2770022,Polygonatum,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Polygonatum officinale,Polygonatum odoratum,7228168,Polygonatum,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Polygonum aviculare,Polygonum aviculare,7821030,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Polygonum bistorta,Polygonum bistorta,7395841,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Polygonum fagopyrum,,,Polygonum,Polygonaceae,Caryophyllales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Polygonum hydropiper,,,Polygonum,Polygonaceae,Caryophyllales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Polygonum persicaria,Polygonum persicaria,7600308,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Polygonum punctatum,Polygonum punctatum,10779688,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Polymnia sonchifolia,,,,,,,,,,HIGHERRANK,0,False,no_match:HIGHERRANK,2026-08-20
Polypodium vulgare,Polypodium vulgare,5274951,Polypodium,Polypodiaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Polyporus umbellatus,Polyporus umbellatus,5246840,Polyporus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,ACCEPTED,EXACT,98,True,,2026-08-20
Poncirus trifoliata,Citrus trifoliata,3190129,Citrus,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Populus alba,Populus alba,3040233,Populus,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Populus nigra,Populus nigra,3040227,Populus,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
