raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Albatrellus confluens,Albatrellopsis confluens,2551821,Albatrellopsis,Albatrellaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,SYNONYM,EXACT,98,True,,2026-08-20
Albatrellus ovinus,Albatrellus ovinus,2551823,Albatrellus,Albatrellaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,ACCEPTED,EXACT,99,True,,2026-08-20
Albizia adianthifolia,Albizia adianthifolia,2972915,Albizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Albizia amara,Albizia amara,2973271,Albizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Albizia julibrissin,Albizia julibrissin,2972983,Albizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Albizia lebbeck,Albizia lebbeck,2973215,Albizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alcantarea imperialis,Alcantarea imperialis,2700429,Alcantarea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Alchemilla alpina,Alchemilla alpina,3027648,Alchemilla,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Alchemilla vulgaris,Alchemilla vulgaris,7890713,Alchemilla,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Alchornea cordifolia,Alchornea cordifolia,3055371,Alchornea,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aletris farinosa,Aletris farinosa,2756106,Aletris,Nartheciaceae,Dioscoreales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aleurites moluccanus,Aleurites moluccanus,4930679,Aleurites,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aleurites montanus,Vernicia montana,3074918,Vernicia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Alibertia patinoi,Alibertia patinoi,7825670,Alibertia,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alisma orientale,Alisma plantago-aquatica,2865101,Alisma,Alismataceae,Alismatales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Alkanna tinctoria,Alkanna tinctoria,5341257,Alkanna,Boraginaceae,Boraginales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Allanblackia stuhlmannii,Allanblackia stuhlmannii,3713122,Allanblackia,Clusiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium cepa,Allium cepa,2857697,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium chinense,Allium chinense,2856307,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Allium fistulosum,Allium fistulosum,2856504,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium grayi,Allium macrostemon,2857455,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Allium hookeri,Allium hookeri,2856878,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium monanthum,Allium monanthum,2857379,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium odorum,Allium odorum,9067948,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Allium porrum,,,Allium,Amaryllidaceae,Asparagales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Allium sativum,Allium sativum,2856681,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium tuberosum,Allium tuberosum,2856297,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Allium ursinum,Allium ursinum,2857601,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Allium victorialis,Allium victorialis,2857132,Allium,Amaryllidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alnus firmifolia,Alnus jorullensis,5939252,Alnus,Betulaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Alnus japonica,Alnus japonica,2876196,Alnus,Betulaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aloe andongensis,Aloe andongensis,2777207,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aloe arborescens,Aloe arborescens,2777537,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aloe barbadensis,Aloe vera,2777724,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Aloe ferox,Aloe ferox,2777789,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aloe maculata,Aloe maculata,2777430,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aloe tomentosa,Aloe tomentosa,2777906,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia calcarata,Alpinia calcarata,5302054,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia formosana,Alpinia formosana,5302324,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia galanga,Alpinia galanga,5302225,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia intermedia,Alpinia intermedia,5302174,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia japonica,Alpinia japonica,5302050,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia katsumadae,Alpinia hainanensis,5302164,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
