COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
77543,PEG-120 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (120 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",24/01/2011
77715,PEG-150 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (150 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING",24/01/2011
77806,PEG-175 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (175 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING",24/01/2011
57656,PEG-190 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (190 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING",24/01/2011
77949,PEG-20 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (20 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
78134,PEG-250 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-(1-oxooctadecyloxy)-, (250 mol EO average molar ratio)",,"CLEANSING, SURFACTANT",24/01/2011
78211,PEG-3 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (3 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
78308,PEG-32 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (32 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
78327,PEG-4 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (4 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77125,PEG-6 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (6 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77289,PEG-75 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (75 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",24/01/2011
77379,PEG-8 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (8 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77490,PEG-9 DISTEARATE,,, 9005-08-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-[(1-oxooctadecyl)oxy]- (9 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77467,PEG-12 DIOLEATE,,, 9005-07-6 / 52668-97-0,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-.omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)- (12 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77349,PEG-10 DIOLEATE,,, 9005-07-6,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-.omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)- (10 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77714,PEG-150 DIOLEATE,,, 9005-07-6,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-.omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)- (150 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
57661,PEG-2 DIOLEATE,,, 9005-07-6,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-.omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)- (2 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
